Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,EthiopiaGlobalRank
1955,19419770,1.91%,349872,−10392,17.3,6.46,19,5.6%,1085996,0.71%,2740213792,26
1960,21376693,1.94%,391385,1696,17.5,6.51,21,6.7%,1425096,0.71%,3015470894,27
1965,24310612,2.61%,586784,16348,17.5,6.63,24,7.8%,1897839,0.73%,3334533703,26
1970,27829128,2.74%,703703,8589,17,6.78,28,8.8%,2440181,0.75%,3694683794,26
1975,31723252,2.65%,778825,−42540,16.2,7.08,32,9.7%,3080708,0.78%,4070735277,26
1980,34428514,1.65%,541052,−903529,15.7,7.29,34,10.7%,3671221,0.77%,4447606236,26
1985,39842136,2.96%,1082724,157476,15.8,7.34,40,11.7%,4673050,0.82%,4868943465,24
1990,47609755,3.63%,1553524,296014,15.8,7.2,48,12.7%,6069048,0.89%,5327803110,23
1995,57537335,3.86%,1985516,91727,15.5,7,58,13.8%,7924483,1.00%,5758878982,21
2000,67411494,3.22%,1974832,−49891,15.1,6.65,67,14.5%,9807289,1.09%,6171702993,16
2005,78367470,3.06%,2191195,−44421,15.1,6.19,78,15.4%,12046373,1.19%,6586970132,16
2010,90538514,2.93%,2434209,80213,15.8,5.28,91,16.8%,15189140,1.29%,7021732148,13
2015,103867135,2.78%,2665724,62785,17,4.53,104,18.7%,19403087,1.39%,7470491872,13
2020,118917671,2.74%,3010107,38866,18.1,4.27,119,20.6%,24463423,1.51%,7887001292,12
2022,125384287,2.68%,3233308,−11996,18.5,4.08,125,21.3%,26755042,1.56%,8021407192,11
2023,128691692,2.64%,3307405,−11996,18.7,3.99,129,21.7%,27959894,1.59%,8091734930,11
2024,132059767,2.62%,3368075,30069,18.9,3.91,132,22.1%,29204015,1.62%,8161972572,10
2025,135472051,2.58%,3412284,24054,19.1,3.81,135,22.5%,30487323,1.65%,8231613070,10
