Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,MozambiqueGlobalRank
1955,6274471,1.2%,72849,−61265,19,6.14,8,6.6%,411022,0.23%,2740213792,65
1960,6713695,1.36%,87845,−54351,18.9,6.31,9,7.6%,507470,0.22%,3015470894,65
1965,7406421,1.98%,138545,−30538,18.4,6.54,9,8.7%,644765,0.22%,3334533703,64
1970,8250506,2.18%,168817,−18197,17.6,6.7,10,10%,823643,0.22%,3694683794,63
1975,9540817,2.95%,258062,59562,17.1,6.66,12,11.8%,1124358,0.23%,4070735277,58
1980,11336221,3.51%,359081,−149650,16.5,6.53,14,13.8%,1558995,0.25%,4447606236,55
1985,12548949,2.05%,242546,−75642,15.9,6.43,16,19%,2379536,0.26%,4868943465,53
1990,13094537,0.85%,109118,−127215,15.9,6.32,17,25.3%,3311912,0.25%,5327803110,55
1995,15960530,4.04%,573199,108751,16.2,6.02,20,27.1%,4332986,0.28%,5758878982,54
2000,18129653,2.58%,433825,−104476,16.2,5.83,23,29%,5257395,0.29%,6171702993,53
2005,20304569,2.29%,434983,−95770,16,5.5,26,30.9%,6276808,0.31%,6586970132,52
2010,22999235,2.52%,538933,−97079,15.8,5.66,29,33.5%,7709657,0.33%,7021732148,52
2015,26547572,2.91%,709667,−52374,15.8,5.25,34,36.3%,9635602,0.36%,7470491872,50
2020,30783688,3.01%,847223,−25864,16.1,4.96,39,38.9%,11978439,0.39%,7887001292,48
2022,32656246,3%,936279,−34936,16.2,4.84,42,40%,13048749,0.41%,8021407192,47
2023,33635160,3%,978914,−36276,16.3,4.76,43,40.5%,13614614,0.42%,8091734930,47
2024,34631766,2.96%,996606,−38940,16.4,4.69,44,41%,14201743,0.42%,8161972572,45
2025,35631653,2.89%,999887,−65573,16.5,4.62,45,41.6%,14810679,0.43%,8231613070,45
