Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,UgandaGlobalRank
1955,6613770,2.84%,172571,0,17.3,6.74,33,3.2%,208359,0.24%,2740213792,60
1960,7640973,2.93%,205441,−7586,16,6.91,38,3.9%,299817,0.25%,3015470894,59
1965,8849203,2.98%,241646,−3716,15.4,7.04,44,5%,441548,0.27%,3334533703,56
1970,10321603,3.13%,294480,−25646,15.5,7.15,52,6.1%,629441,0.28%,3694683794,50
1975,11725240,2.58%,280727,−47359,15.1,7.2,59,6.5%,762275,0.29%,4070735277,50
1980,13275741,2.51%,310100,−105900,14.9,7.11,66,7.1%,945460,0.30%,4447606236,50
1985,15023681,2.5%,349588,−42942,14.8,7.04,75,8.9%,1340406,0.31%,4868943465,50
1990,17569897,3.18%,509243,−21688,14.8,7.01,88,11%,1931504,0.33%,5327803110,47
1995,20665667,3.3%,619154,−242378,14.4,6.87,103,12.8%,2639817,0.36%,5758878982,46
2000,24000150,3.04%,666897,−52824,14,6.79,120,14.8%,3554371,0.39%,6171702993,43
2005,27963289,3.1%,792628,−151386,14,6.53,140,17.3%,4841176,0.42%,6586970132,40
2010,32390802,2.98%,885503,−168322,14.2,6.02,162,20.3%,6573772,0.46%,7021732148,38
2015,37531446,2.99%,1028129,−62366,14.8,5.25,188,23.6%,8855831,0.50%,7470491872,37
2020,44457152,3.44%,1385141,43464,15.9,4.62,222,26.5%,11775012,0.56%,7887001292,34
2022,47312719,3.16%,1427784,−118843,16.3,4.39,237,27.8%,13143166,0.59%,8021407192,32
2023,48656601,2.84%,1343882,−126181,16.5,4.28,244,28.5%,13873500,0.60%,8091734930,31
2024,50015092,2.79%,1358491,−117924,16.7,4.17,250,29.3%,14635755,0.61%,8161972572,31
2025,51384894,2.74%,1369802,−119059,16.9,4.06,257,30%,15430672,0.62%,8231613070,31
