Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,CameroonGlobalRank
1955,4700257,1.65%,74035,0,19.6,5.74,10,11.4%,537904,0.17%,2740213792,72
1960,5159057,1.88%,91760,0,19.5,5.72,11,14%,721399,0.17%,3015470894,72
1965,5704686,2.03%,109126,−39,18.9,5.8,12,17.1%,975314,0.17%,3334533703,72
1970,6449793,2.49%,149021,−367,18.1,6.2,14,20.5%,1325110,0.17%,3694683794,70
1975,7397120,2.78%,189465,−237,17.4,6.4,16,27.5%,2035248,0.18%,4070735277,70
1980,8512219,2.85%,223020,70589,16.7,6.61,18,32.3%,2751106,0.19%,4447606236,67
1985,9761730,2.78%,249902,−3604,15.9,6.56,21,37.3%,3641311,0.20%,4868943465,68
1990,11331821,3.03%,314018,−8163,15.7,6.36,24,41%,4645941,0.21%,5327803110,61
1995,13058516,2.88%,345339,−12661,15.8,5.92,28,43.9%,5730711,0.23%,5758878982,62
2000,14912631,2.69%,370823,−21221,16.2,5.51,32,46.6%,6956118,0.24%,6171702993,62
2005,17074594,2.74%,432393,−27775,16.6,5.42,36,49.5%,8456175,0.26%,6586970132,59
2010,19668066,2.87%,518694,−9366,16.8,5.15,42,52.4%,10296608,0.28%,7021732148,59
2015,22763414,2.97%,619070,42008,17.2,4.84,48,54.7%,12462615,0.30%,7470491872,56
2020,26210558,2.86%,689429,−9888,17.4,4.56,55,57%,14941523,0.33%,7887001292,53
2022,27632771,2.68%,711107,−4798,17.6,4.4,58,58%,16022262,0.34%,8021407192,53
2023,28372687,2.68%,739916,−4798,17.8,4.32,60,58.4%,16581877,0.35%,8091734930,52
2024,29123744,2.65%,751057,−13892,17.9,4.26,62,58.9%,17154348,0.36%,8161972572,52
2025,29879337,2.59%,755593,−15379,18,4.18,63,59.4%,17739676,0.36%,8231613070,51
