Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,EgyptGlobalRank
1955,23795229,2.39%,529413,−28824,19.5,7.01,24,34.4%,8194766,0.87%,2740213792,21
1960,26896479,2.48%,620250,−2954,18.6,6.79,27,38%,10221871,0.89%,3015470894,22
1965,30629174,2.63%,746539,17605,17.9,6.39,31,40%,12253382,0.92%,3334533703,23
1970,34623990,2.48%,798963,−35064,18.1,6.06,35,42%,14536071,0.94%,3694683794,21
1975,38875327,2.34%,850267,−62368,18.3,5.75,39,43.6%,16964582,0.95%,4070735277,21
1980,43950413,2.48%,1015017,738,18.2,5.49,44,44%,19340901,0.99%,4447606236,21
1985,50734968,2.91%,1356911,112411,18.3,5.12,51,43.5%,22059000,1.04%,4868943465,19
1990,58396618,2.85%,1532330,406994,18.5,4.51,59,42.7%,24961581,1.10%,5327803110,15
1995,65652622,2.37%,1451201,−38920,19.1,3.76,66,41.5%,27278501,1.14%,5758878982,15
2000,73083284,2.17%,1486132,27873,20.1,3.5,73,40.9%,29917321,1.18%,6171702993,15
2005,81101004,2.1%,1603544,−37129,21.2,3.25,81,40.7%,33035354,1.23%,6586970132,14
2010,89196072,1.92%,1619014,−194100,22.2,3.3,90,40.6%,36182597,1.27%,7021732148,14
2015,99597342,2.23%,2080254,−193298,22.9,3.5,100,40.3%,40123329,1.33%,7470491872,14
2020,109315124,1.88%,1943556,6016,23.5,2.85,110,40.3%,44041052,1.39%,7887001292,14
2022,112618250,1.5%,1651563,13707,23.8,2.75,113,40.6%,45724131,1.40%,8021407192,14
2023,114535772,1.7%,1917522,305006,24,2.75,115,40.7%,46597953,1.42%,8091734930,14
2024,116538258,1.75%,2002486,123884,24.3,2.73,117,40.8%,47497912,1.43%,8161972572,13
2025,118365995,1.57%,1827737,−57305,24.5,2.71,119,40.9%,48427431,1.44%,8231613070,13
