Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,South AfricaGlobalRank
1955,14533365,2.19%,298975,−2747,18.6,6.13,12,47%,6829341,0.53%,2740213792,31
1960,16440172,2.5%,381361,18891,17.9,6.11,14,49.5%,8138204,0.55%,3015470894,31
1965,19089380,3.03%,529842,82514,17.8,5.89,16,49.4%,9422320,0.57%,3334533703,30
1970,22279984,3.14%,638121,61514,17.7,5.63,18,49%,10919359,0.60%,3694683794,29
1975,25690940,2.89%,682191,38809,17.9,5.19,21,49.1%,12610547,0.63%,4070735277,29
1980,29518857,2.82%,765583,258127,18.4,4.78,24,48.8%,14411610,0.66%,4447606236,28
1985,35042093,3.49%,1104647,244940,19.4,4.5,29,47.5%,16653360,0.72%,4868943465,28
1990,40746268,3.06%,1140835,259718,20.3,3.72,34,48%,19545369,0.76%,5327803110,25
1995,44541554,1.8%,759057,−98403,20.5,3.17,37,51.5%,22932019,0.77%,5758878982,25
2000,47159719,1.15%,523633,−136794,20.8,2.41,39,55.2%,26015136,0.76%,6171702993,25
2005,49490033,0.97%,466063,31286,22.1,2.51,41,58.7%,29065720,0.75%,6586970132,24
2010,52344051,1.13%,570804,68563,23.6,2.44,43,61.3%,32094811,0.75%,7021732148,24
2015,56723537,1.62%,875897,641150,25.4,2.36,47,63.2%,35844349,0.76%,7470491872,24
2020,60562381,1.32%,767769,369901,27.3,2.26,50,65.3%,39550889,0.77%,7887001292,24
2022,62378410,1.49%,908015,233284,27.9,2.23,51,65.7%,40998414,0.78%,8021407192,24
2023,63212384,1.34%,833974,228222,28.2,2.22,52,66%,41711727,0.78%,8091734930,24
2024,64007187,1.26%,794803,166972,28.5,2.21,53,66.3%,42416701,0.78%,8161972572,24
2025,64747319,1.16%,740132,146370,28.7,2.19,53,66.6%,43112579,0.79%,8231613070,24
