Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,CambodiaGlobalRank
1955,4890372,2.25%,103023,−4946,17.3,6.53,28,10.6%,516753,0.18%,2740213792,70
1960,5449966,2.19%,111919,−5339,17.1,6.31,31,10.8%,588531,0.18%,3015470894,68
1965,6072289,2.19%,124465,−16930,16.8,6.27,34,11.5%,700389,0.18%,3334533703,68
1970,6639182,1.8%,113379,−193008,16.5,6.07,38,16.8%,1117077,0.18%,3694683794,69
1975,6581371,−0.17%,−11562,−47717,16.1,4.1,37,5.1%,336810,0.16%,4070735277,75
1980,5199872,−4.6%,−276300,−133508,16.7,5.77,29,12.7%,662376,0.12%,4447606236,91
1985,6043783,3.05%,168782,4677,16.8,6.31,34,17.8%,1074486,0.12%,4868943465,91
1990,7374752,4.06%,266194,58455,17.2,5.64,42,18.9%,1395017,0.14%,5327803110,85
1995,10018497,6.32%,528749,503042,15.9,5.08,57,18.4%,1844262,0.17%,5758878982,76
2000,12462336,4.46%,488768,−50957,17,3.79,71,18.1%,2258686,0.20%,6171702993,64
2005,13439202,1.52%,195373,−60473,19.1,3.24,76,18.9%,2544414,0.20%,6586970132,67
2010,14500726,1.53%,212305,−49781,21.3,2.86,82,20%,2903806,0.21%,7021732148,68
2015,15623251,1.5%,224505,−58101,23.2,2.73,89,22%,3443036,0.21%,7470491872,70
2020,16725474,1.37%,220445,0,25.1,2.7,95,24.2%,4050459,0.21%,7887001292,72
2022,17201724,1.41%,238125,−31350,25.6,2.62,97,25.1%,4311303,0.21%,8021407192,73
2023,17423880,1.29%,222156,−31837,25.8,2.58,99,25.5%,4445360,0.22%,8091734930,73
2024,17638801,1.23%,214921,−32960,26,2.55,100,26%,4581944,0.22%,8161972572,73
2025,17847982,1.19%,209181,−31469,26.2,2.51,101,26.5%,4721141,0.22%,8231613070,73
