Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,VietnamGlobalRank
1955,28166446,2.33%,613142,0,22,5.54,91,13.1%,3685807,1.03%,2740213792,18
1960,32531933,2.92%,873097,0,20.2,6.27,105,14.8%,4802582,1.08%,3015470894,17
1965,37129656,2.68%,919545,−1438,17.7,6.16,120,16.7%,6216854,1.11%,3334533703,17
1970,41475230,2.24%,869115,1997,17.2,6.02,134,19.2%,7943534,1.12%,3694683794,17
1975,46482903,2.31%,1001535,−2010,17.6,5.62,150,19.7%,9152476,1.14%,4070735277,17
1980,52490101,2.46%,1201440,−74791,18.4,4.79,169,19.9%,10464982,1.18%,4447606236,16
1985,59060622,2.39%,1314104,−124910,18.9,4.21,190,20.2%,11942117,1.21%,4868943465,13
1990,65504552,2.09%,1288786,−57221,19.5,3.6,211,21.1%,13817423,1.23%,5327803110,13
1995,72049940,1.92%,1309078,−51147,20.6,2.7,232,23.1%,16668571,1.25%,5758878982,13
2000,77154011,1.38%,1020814,−144298,22.7,2.03,249,25.4%,19568590,1.25%,6171702993,14
2005,81088313,1%,786860,−208337,24.8,1.89,262,28.4%,23000555,1.23%,6586970132,15
2010,87455152,1.52%,1273368,−4443,27.2,1.91,282,30.8%,26910696,1.25%,7021732148,15
2015,92823254,1.2%,1073620,−4888,29.2,2.1,299,34.1%,31635369,1.24%,7470491872,15
2020,98079191,1.11%,1051187,−6457,31,1.96,316,37.4%,36727248,1.24%,7887001292,15
2022,99680655,0.81%,800732,−78977,31.9,1.93,321,39%,38841525,1.24%,8021407192,16
2023,100352192,0.67%,671537,−81789,32.4,1.91,324,39.8%,39908501,1.24%,8091734930,16
2024,100987686,0.63%,635494,−59645,32.9,1.9,326,40.6%,40975863,1.24%,8161972572,16
2025,101598527,0.6%,610841,−48171,33.4,1.88,328,41.4%,42039428,1.23%,8231613070,16
