Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,AfghanistanGlobalRank
1955,8326979,1.38%,110161,−7263,18.2,7.26,13,7.1%,587818,0.30%,2740213792,48
1960,9035043,1.65%,141613,2606,17.9,7.28,14,8.4%,755797,0.30%,3015470894,48
1965,10036008,2.12%,200193,10695,17.5,7.3,15,9.8%,984350,0.30%,3334533703,46
1970,11290128,2.38%,250824,4458,17,7.4,17,11.5%,1295433,0.31%,3694683794,49
1975,12773954,2.5%,296765,−44418,16.4,7.54,20,13.4%,1717422,0.31%,4070735277,49
1980,13169311,0.61%,79071,−1174239,15.8,7.64,20,16.1%,2119078,0.30%,4447606236,51
1985,11426852,−2.8%,−348492,−208685,15.3,7.55,18,19.6%,2238468,0.23%,4868943465,56
1990,12045660,1.06%,123762,−458737,15,7.58,18,21.5%,2593947,0.23%,5327803110,59
1995,17065836,7.22%,1004035,52505,14.6,7.77,26,21.7%,3697570,0.30%,5758878982,51
2000,20130327,3.36%,612898,−1025973,14,7.57,31,22%,4436282,0.33%,6171702993,48
2005,24404567,3.93%,854848,250971,14,6.86,37,23.3%,5691836,0.37%,6586970132,45
2010,28284089,2.99%,775904,−167460,14.6,6.2,43,24.2%,6836980,0.40%,7021732148,44
2015,33831764,3.65%,1109535,−286314,15.5,5.65,52,24.7%,8367571,0.45%,7470491872,40
2020,39068979,2.92%,1047443,143634,16.4,5.14,60,25.4%,9904337,0.50%,7887001292,37
2022,40578842,1.91%,754932,−647402,16.8,4.93,62,26.1%,10587583,0.51%,8021407192,37
2023,41454761,2.16%,875919,−48958,16.9,4.84,63,26.4%,10948055,0.51%,8091734930,36
2024,42647492,2.88%,1192731,−44089,17.1,4.76,65,26.5%,11320521,0.52%,8161972572,36
2025,43844111,2.81%,1196619,−74404,17.3,4.66,67,26.7%,11704638,0.53%,8231613070,36
