Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,IndiaGlobalRank
1955,387700887,2.29%,8284413,70393,19.7,5.91,130,18.6%,71958495,14.15%,2740213792,2
1960,435990338,2.38%,9657890,146955,19.2,5.92,147,18.5%,80565723,14.46%,3015470894,2
1965,490140146,2.37%,10829962,−248299,18.5,5.94,165,19.1%,93493844,14.70%,3334533703,2
1970,545864268,2.18%,11144824,233782,18.1,5.62,184,20%,109388950,14.77%,3694683794,2
1975,611309535,2.29%,13089053,434205,18.4,5.2,206,21.7%,132533810,15.02%,4070735277,2
1980,687354025,2.37%,15208898,210914,18.9,4.78,231,23.4%,160941941,15.45%,4447606236,2
1985,772647793,2.37%,17058754,−89991,19.3,4.43,260,24.6%,190321782,15.87%,4868943465,2
1990,864972221,2.28%,18464886,125514,19.7,4.04,291,25.7%,222296728,16.24%,5327803110,2
1995,960301044,2.11%,19065765,−57297,20.3,3.65,323,26.6%,255558824,16.68%,5758878982,2
2000,1057922733,1.96%,19524338,−143960,21.2,3.35,356,27.5%,291350282,17.14%,6171702993,2
2005,1154676322,1.77%,19350718,−929454,22.2,2.96,388,29%,334479406,17.53%,6586970132,2
2010,1243481564,1.49%,17761048,−50905,23.6,2.6,418,30.6%,380744554,17.71%,7021732148,2
2015,1328024498,1.32%,16908587,−655085,25.3,2.29,447,32.3%,429069459,17.78%,7470491872,2
2020,1402617695,1.1%,14918639,−73806,27,2.05,472,34.4%,483098640,17.78%,7887001292,2
2022,1425423212,0.81%,11402759,−1353478,27.7,1.99,479,35.5%,506304869,17.77%,8021407192,1
2023,1438069596,0.89%,12646384,−979179,28.1,1.98,484,36%,518239122,17.77%,8091734930,1
2024,1450935791,0.89%,12866195,−630830,28.4,1.96,488,36.6%,530387142,17.78%,8161972572,1
2025,1463865525,0.89%,12929734,−495753,28.8,1.94,492,37.1%,542742539,17.78%,8231613070,1
