Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,IranGlobalRank
1955,18700802,2.52%,438050,23839,19.7,7.15,11,31.5%,5895032,0.68%,2740213792,28
1960,21470434,2.8%,553926,54041,18,7.52,13,34.4%,7390258,0.71%,3015470894,26
1965,25036978,3.12%,713309,127808,16.6,7.22,15,36.9%,9250486,0.75%,3334533703,25
1970,29145100,3.09%,821624,89757,16.5,6.8,18,40.3%,11751335,0.79%,3694683794,25
1975,33802973,3.01%,931575,106921,17,5.95,21,44.3%,14973153,0.83%,4070735277,25
1980,39842324,3.34%,1207870,103674,17.2,6.63,24,48.2%,19215536,0.90%,4447606236,22
1985,49582289,4.47%,1947993,163999,17.2,6.24,30,51%,25278712,1.02%,4868943465,22
1990,58380092,3.32%,1759561,200711,17.1,4.93,36,54.3%,31672465,1.10%,5327803110,16
1995,62205567,1.28%,765095,−220258,17.5,2.85,38,58.7%,36488609,1.08%,5758878982,16
2000,66418659,1.32%,842618,300133,20.2,2,41,63.8%,42352090,1.08%,6171702993,17
2005,71828455,1.58%,1081959,765873,23.2,1.76,44,66.2%,47575374,1.09%,6586970132,17
2010,77420842,1.51%,1118477,−12849,26.1,1.75,48,68%,52664138,1.10%,7021732148,17
2015,82619362,1.31%,1039704,−46239,28.7,2.02,51,70.5%,58217032,1.11%,7470491872,16
2020,87723443,1.21%,1020816,−180680,31.3,1.7,54,72.3%,63420504,1.11%,7887001292,17
2022,89524246,1.02%,900402,403190,32.3,1.7,55,72.9%,65271669,1.12%,8021407192,17
2023,90608707,1.21%,1084461,262044,32.9,1.7,56,73%,66139220,1.12%,8091734930,17
2024,91567738,1.06%,959031,190156,33.4,1.68,56,73.1%,66968458,1.12%,8161972572,17
2025,92417681,0.93%,849943,116786,34,1.67,57,73.3%,67760281,1.12%,8231613070,17
