Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,TurkeyGlobalRank
1955,24310511,2.95%,657874,6845,18.8,6.46,32,28.5%,6929929,0.89%,2740213792,20
1960,28329898,3.11%,803877,14948,18.4,6.38,37,30.6%,8657857,0.94%,3015470894,20
1965,32345220,2.69%,803064,−113911,17.8,6.22,42,32.8%,10601023,0.97%,3334533703,19
1970,36638465,2.52%,858649,−150924,17.5,5.78,48,36.4%,13334557,0.99%,3694683794,19
1975,41053126,2.3%,882932,−193829,18.1,5.09,53,39.8%,16333819,1.01%,4070735277,19
1980,45408815,2.04%,871138,−151969,18.8,4.45,59,42.4%,19252765,1.02%,4447606236,20
1985,50687115,2.22%,1055660,8960,19.6,3.78,66,50.8%,25769960,1.04%,4868943465,20
1990,56015628,2.02%,1065703,−27193,20.8,3.11,73,57%,31923032,1.05%,5327803110,20
1995,61024503,1.73%,1001775,−149737,22.2,2.83,79,59.5%,36333494,1.06%,5758878982,17
2000,65425961,1.4%,880292,−195996,24,2.49,85,62.6%,40942328,1.06%,6171702993,18
2005,69329557,1.17%,780719,−174177,26,2.2,90,66.4%,46065593,1.05%,6586970132,18
2010,73346769,1.13%,803442,55532,28.1,2.08,95,69.8%,51225748,1.04%,7021732148,18
2015,80014226,1.76%,1333491,1063140,29.6,2.16,104,72%,57616730,1.07%,7470491872,19
2020,86091692,1.47%,1215493,37934,31.2,1.77,112,74.1%,63803445,1.09%,7887001292,18
2022,87058473,0.56%,483391,−301544,32.1,1.63,113,75.2%,65482895,1.09%,8021407192,18
2023,87270501,0.24%,212028,−318070,32.5,1.63,113,75.8%,66156581,1.08%,8091734930,18
2024,87473805,0.23%,203304,−275952,33,1.62,114,76.4%,66795292,1.07%,8161972572,18
2025,87685426,0.24%,211621,−258205,33.5,1.62,114,76.9%,67446349,1.07%,8231613070,18
