Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,RussiaGlobalRank
1955,111160992,1.46%,1553726,−95879,25,2.81,7,49%,54512824,4.06%,2740213792,4
1960,119934141,1.53%,1754630,−234895,26.3,2.63,7,53.7%,64402146,3.98%,3015470894,4
1965,126634214,1.09%,1340015,−138078,27.4,2.11,8,58.1%,73579688,3.80%,3334533703,4
1970,130367189,0.58%,746595,−264464,29.7,2.01,8,62.4%,81289925,3.53%,3694683794,4
1975,134136098,0.57%,753782,80069,29.9,2,8,66.3%,88869066,3.30%,4070735277,4
1980,138572623,0.65%,887305,10440,30.1,1.92,8,69.5%,96298016,3.12%,4447606236,5
1985,143569389,0.71%,999353,280614,30.9,2.09,9,71.6%,102829481,2.95%,4868943465,5
1990,148979541,0.74%,1082030,299863,32.2,1.91,9,72.7%,108302585,2.80%,5327803110,6
1995,148291403,−0.09%,−137628,723875,34,1.35,9,73.4%,108802154,2.58%,5758878982,6
2000,146717783,−0.21%,−314724,550401,35.7,1.19,9,73.2%,107381741,2.38%,6171702993,7
2005,144597884,−0.29%,−423980,263541,36.4,1.3,9,73%,105505958,2.20%,6586970132,9
2010,143934465,−0.09%,−132684,307555,37,1.58,9,73.3%,105485979,2.05%,7021732148,9
2015,145307616,0.19%,274630,384756,37.7,1.79,9,73.3%,106549491,1.95%,7470491872,9
2020,146371299,0.15%,212737,334094,38.7,1.5,9,73.4%,107486269,1.86%,7887001292,9
2022,145579899,−0.27%,−395700,765629,39.1,1.45,9,74%,107762468,1.81%,8021407192,9
2023,145440500,−0.1%,−139399,27807,39.5,1.45,9,74.2%,107876661,1.80%,8091734930,9
2024,144820423,−0.43%,−620077,−178042,39.9,1.46,9,74.6%,107976212,1.77%,8161972572,9
2025,143997393,−0.57%,−823030,−251822,40.3,1.47,9,75%,108062384,1.75%,8231613070,9
