Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,Saint Kitts and NevisGlobalRank
1955,52134,1.99%,980,−777,17,6.96,201,25.1%,13101,0.0019%,2740213792,193
1960,55810,1.37%,735,−1725,16.3,6.54,215,25.4%,14152,0.0019%,3015470894,192
1965,51139,−1.73%,−934,−2447,15.9,6.01,197,29.7%,15185,0.0015%,3334533703,196
1970,44606,−2.7%,−1307,−1227,15,4.73,172,34.4%,15324,0.0012%,3694683794,204
1975,43606,−0.45%,−200,−813,17.4,3.67,168,35.6%,15509,0.0011%,4070735277,204
1980,42850,−0.35%,−151,−798,19.1,3.26,165,36.2%,15505,0.00096%,4447606236,206
1985,41874,−0.46%,−195,−821,21.1,2.82,161,35.4%,14807,0.00086%,4868943465,207
1990,40432,−0.7%,−288,−812,22.3,2.73,156,35%,14132,0.00076%,5327803110,210
1995,42326,0.92%,379,162,23.7,2.3,163,34.2%,14461,0.00073%,5758878982,210
2000,45248,1.34%,584,291,25.7,2.13,174,32.9%,14873,0.00073%,6171702993,210
2005,46437,0.52%,238,−234,27.5,1.93,179,33.5%,15569,0.00070%,6586970132,211
2010,46846,0.18%,82,−449,29.6,1.76,180,34.4%,16114,0.00067%,7021732148,211
2015,47087,0.1%,48,−202,31.8,1.64,181,35.5%,16736,0.00063%,7470491872,211
2020,46870,−0.09%,−43,−202,34.2,1.55,180,37.4%,17523,0.00059%,7887001292,210
2022,46709,−0.17%,−81,0,35,1.51,180,38.3%,17886,0.00058%,8021407192,209
2023,46758,0.1%,49,0,35.3,1.5,180,38.7%,18074,0.00058%,8091734930,209
2024,46843,0.18%,85,−7,35.8,1.53,180,39%,18274,0.00057%,8161972572,208
2025,46922,0.17%,79,18,36.2,1.51,180,39.4%,18481,0.00057%,8231613070,208
