Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,BoliviaGlobalRank
1955,3358004,1.68%,53607,−2993,19.1,6.24,3,35.4%,1187684,0.12%,2740213792,87
1960,3702323,1.97%,68864,−3144,18.6,6.27,3,36.7%,1357798,0.12%,3015470894,87
1965,4109796,2.11%,81495,−4444,18.5,6.18,4,37.9%,1557303,0.12%,3334533703,88
1970,4590010,2.23%,96043,−4915,18.4,6,4,39%,1792197,0.12%,3694683794,88
1975,5137539,2.28%,109506,−6424,18.3,5.75,5,40.3%,2069502,0.13%,4070735277,85
1980,5758900,2.31%,124272,−11762,18.3,5.47,5,44.1%,2540502,0.13%,4447606236,87
1985,6416185,2.19%,131457,−17558,18.4,5.15,6,48.9%,3137990,0.13%,4868943465,88
1990,7130142,2.13%,142791,−21917,18.6,4.9,7,53.4%,3810515,0.13%,5327803110,88
1995,7874676,2.01%,148907,−28204,19.1,4.41,7,56.8%,4475674,0.14%,5758878982,85
2000,8606326,1.79%,146330,−26940,19.9,3.99,8,59.9%,5152761,0.14%,6171702993,83
2005,9360754,1.69%,150886,−15594,20.6,3.56,9,62.6%,5855799,0.14%,6586970132,83
2010,10182345,1.7%,164318,−12590,21.5,3.21,9,64.7%,6588702,0.15%,7021732148,83
2015,11014705,1.58%,166472,−10525,22.8,2.89,10,66.6%,7334993,0.15%,7470491872,83
2020,11816299,1.41%,160319,−4663,24,2.65,11,68.5%,8094974,0.15%,7887001292,80
2022,12077154,1.1%,130428,−3008,24.4,2.58,11,69.6%,8408607,0.15%,8021407192,80
2023,12244159,1.38%,167005,−3008,24.7,2.55,11,70%,8567158,0.15%,8091734930,79
2024,12413315,1.38%,169156,−3000,24.9,2.52,11,70.3%,8726746,0.15%,8161972572,79
2025,12581843,1.36%,168528,−3179,25.2,2.5,12,70.6%,8887268,0.15%,8231613070,79
