Year,Population,Yearly %Change,YearlyChange,Migrants(net),MedianAge,FertilityRate,Density(P/Km²),UrbanPop %,UrbanPopulation,Country'sShare ofWorld Pop,WorldPopulation,BrazilGlobalRank
1955,62101388,3.06%,1738567,12501,17.3,6.08,7,41.4%,25688833,2.27%,2740213792,8
1960,72388126,3.11%,2057348,4066,16.9,6.05,9,46%,33315588,2.40%,3015470894,8
1965,83817583,2.98%,2285891,−8824,16.7,5.68,10,50.8%,42615168,2.51%,3334533703,7
1970,95375651,2.62%,2311614,−18779,17.3,4.93,11,55.9%,53295882,2.58%,3694683794,7
1975,107619565,2.44%,2448783,−25499,18.2,4.42,13,60.8%,65415995,2.64%,4070735277,7
1980,121207461,2.41%,2717579,−38918,19.2,4.04,15,65.4%,79320279,2.73%,4447606236,6
1985,135515595,2.26%,2861627,−60879,20.2,3.48,16,69.9%,94786793,2.78%,4868943465,6
1990,149143223,1.93%,2725526,−30555,21.4,2.9,18,74%,110404028,2.80%,5327803110,5
1995,161735073,1.63%,2518370,−69963,22.7,2.57,19,77.9%,125958216,2.81%,5758878982,5
2000,174018282,1.47%,2456642,−45800,24.2,2.25,21,81.8%,142319507,2.82%,6171702993,5
2005,184688101,1.2%,2133964,−88868,26,1.94,22,83.8%,154831640,2.80%,6586970132,5
2010,193701929,0.96%,1802766,−261539,28.2,1.79,23,85.7%,165969018,2.76%,7021732148,6
2015,201675532,0.81%,1594721,−173611,30.5,1.78,24,87.6%,176653700,2.70%,7470491872,6
2020,208660842,0.68%,1397062,−78437,32.7,1.65,25,89.2%,186217070,2.65%,7887001292,7
2022,210306415,0.39%,822787,−253639,33.5,1.63,25,90.2%,189675703,2.62%,8021407192,7
2023,211140729,0.4%,834314,−240059,33.9,1.62,25,90.6%,191322786,2.61%,8091734930,7
2024,211998573,0.41%,857844,−225510,34.4,1.61,25,91%,192914763,2.60%,8161972572,7
2025,212812405,0.38%,813832,−217283,34.8,1.6,25,91.4%,194451506,2.59%,8231613070,7
